stop_id,stop_code,stop_name,stop_lat,stop_lon
"691100952","691100952","AVENIDA EVA PERÓN 1249-1299",-34.797232,-58.232208
"628117050","628117050","20 DE SEPTIEMBRE 1787",-34.796415,-58.359195
"6490106165","6490106165","AVENIDA HIPÓLITO YRIGOYEN 12036",-34.795890,-58.408950
"691134825","691134825","CALLE 55 5212",-34.794890,-58.168118
"6427126626","6427126626","B. MAGAN 300-498",-34.794052,-58.615190
"691103264","691103264","CAMINO GENERAL BELGRANO 2599-2649",-34.793978,-58.238223
"628126099","628126099","COLÓN 3486",-34.793355,-58.353488
"6270125457","6270125457","RUBEN DARIO 300-398",-34.789487,-58.525792
"628126689","628126689","CATAMARCA 3100-3198",-34.789232,-58.340508
"6274110164","6274110164","CALLE 14 1581",-34.788393,-58.292323
"628111631","628111631","GENERAL JOSÉ J. ARIAS 499-599",-34.785112,-58.369778
"691127719","691127719","CALLE 137 256",-34.784780,-58.207772
"691134876","691134876","CALLE 158 4397",-34.783342,-58.174212
"6525125202","6525125202","RUTA PROVINCIAL 40 Y 43777",-34.812538,-58.858103
"628101161","628101161","AVENIDA TOMÁS ESPORA 1501-1599",-34.809657,-58.388650
"6260118072","6260118072","AVENIDA V. FAIR 611-627",-34.807492,-58.486087
"6274103879","6274103879","AVENIDA CALCHAQUÍ 3967",-34.806913,-58.233863
"628133090","628133090","MARTÍN RODRÍGUEZ 1000-1034",-34.806278,-58.397072
"628132015","628132015","CAMILO CAVOUR 1200-1298",-34.803832,-58.352020
"628132870","628132870","PRES. ARTURO ILLIA 1800",-34.803092,-58.375215
"691105358","691105358","AVENIDA OTTO BERMBERG_CALLE 144",-34.801532,-58.176152
"628129454","628129454","AVENIDA 17 DE OCTUBRE 700-798",-34.800667,-58.337847
"691129880","691129880","AVENIDA ANTÁRTIDA ARGENTINA 899-999",-34.798865,-58.216892
"628119635","628119635","AVENIDA TOMÁS ESPORA 699-799",-34.798733,-58.388737
"628108751","628108751","AVENIDA LACAZE 5600-5698",-34.798410,-58.324185
"6274134668","6274134668","AV. DONATO ÁLVAREZ 6699-6799",-34.797777,-58.306607
"6274117297","6274117297","JOSÉ IGNACIO GORRITI 3159",-34.797717,-58.260095
"698130219","698130219","TEODORO FUNCHS_CALLE 34",-34.876570,-57.851937
"6274119170","6274119170","AVENIDA EVA PERÓN",-34.872612,-58.275295
"698119104","698119104","CALLE 7_CALLE 162",-34.871880,-57.890498
"6441106769","6441106769","CAMINO PARQUE CENTENARIO_CALLE 486",-34.871017,-58.031692
"698118491","698118491","CALLE 11_AVENIDA MONTEVIDEO",-34.869032,-57.882972
"698127083","698127083","AVENIDA MONTEVIDEO_CALLE 11",-34.868818,-57.883337
"6441108884","6441108884","DIAGONAL 25 DE MAYO 92_CALLE 13B",-34.866843,-58.045678
"6441131332","6441131332","CAMINO PARQUE CENTENARIO_CALLE 460",-34.861680,-58.060313
"6441129212","6441129212","CAMINO PARQUE CENTENARIO_DIAGONAL 449",-34.859998,-58.067257
"628106764","628106764","DOCTOR L. CHIESA 749-799",-34.859232,-58.386872
"6441106477","6441106477","CAMINO PARQUE CENTENARIO_CALLE 422 BIS",-34.855333,-58.075507
"628105944","628105944","JUAN SARCIONE 208",-34.840747,-58.376947
"6245122613","6245122613","CAMINO COSTANERO ALMIRANTE BROWN_CALLE 6",-34.840612,-57.936337
"628117159","628117159","CARLOS MORGANTI 983",-34.838505,-58.370185
"6658134589","6658134589","URQUIZA 500-598",-34.723625,-58.275895
"6658118262","6658118262","AVELLANEDA 1400-1422",-34.723500,-58.300057
"6434123548","6434123548","TUCUMÁN 3402-3500",-34.723197,-58.362760
"6658101970","6658101970","GARIBALDI 381",-34.721828,-58.252593
"6658122968","6658122968","AVENIDA DARDO ROCHA 116",-34.721093,-58.288915
"6658122655","6658122655","OLAVARRÍA 639",-34.721023,-58.246757
"6490129511","6490129511","MILAN 1060",-34.720232,-58.435340
"6427104088","6427104088","AVENIDA CRISTIANÍA 5300-5394",-34.718852,-58.572988
"6434113177","6434113177","AVENIDA HIPÓLITO YRIGOYEN 5502-5600",-34.718450,-58.393893
"635115171","635115171","CANGALLO 6152-6200",-34.718242,-58.334537
"6658106788","6658106788","AV. ISIDORO IRIARTE 1132",-34.718132,-58.236427
"6427123515","6427123515","ZEPPELIN 365-399",-34.717533,-58.582793
"6434102389","6434102389","CALLE PITÁGORAS 3325-3379",-34.716087,-58.355810
"6427129287","6427129287","JUAN SEBASTIÁN BACH 4500",-34.716082,-58.581135
"6658124729","6658124729","AVENIDA OTAMENDI 799-849",-34.715800,-58.245742
"6434107112","6434107112","ITUZAINGÓ 2301-2355",-34.715437,-58.377782
"6882130126","6882130126","ACCESO A LIMA Y ROTONDA LIMA",-34.078080,-59.204392
"628129748","628129748","RAFAEL CALZADA 1800-1848",-34.796312,-58.359133
"6427125193","6427125193","BRIGADIER GENERAL JUAN MANUEL DE ROSAS 17813-17841",-34.793682,-58.632472
"628116346","628116346","DIAGONAL JUAN B. TOLL Y BERNARDET 601-687",-34.793118,-58.383307
"6658109999","6658109999","CALLE 898 6213",-34.792615,-58.306170
"6490127877","6490127877","MACHADO DE ASIS 2901-2999",-34.791297,-58.420027
"691133813","691133813","CLAUDIO RUIZ 5600-5668",-34.790362,-58.165280
"628126082","628126082","JORGE SANTIAGO BYNNON 2600-2698",-34.789292,-58.373827
"6490121226","6490121226","NESTOR DE LA PEÑA 502-600",-34.789022,-58.429242
"628126156","628126156","JORGE 3500-3598",-34.786632,-58.357580
"6260127265","6260127265","COLECTORA CAMINO DE CINTURA 1400-1598",-34.786563,-58.453460
"6427109056","6427109056","BRIGADIER GENERAL JUAN MANUEL DE ROSAS 17036-17048",-34.785752,-58.627250
"691124639","691124639","CALLE 21 1848-1898",-34.783883,-58.233425
"6658126596","6658126596","AVENIDA 893 GUILLERMO HUDSON",-34.783498,-58.303110
"6260111451","6260111451","BOULEVARD BUENOS AIRES 1121",-34.812008,-58.452048
"6274106166","6274106166","JUAN VASQUEZ 343",-34.810658,-58.272005
"628131356","628131356","CAPITÁN DE FRAGATA MOYANO 600-698",-34.807843,-58.411545
"628121115","628121115","AVENIDA HIPÓLITO YRIGOYEN 13057",-34.806872,-58.403472
"6490110278","6490110278","DOYHENARD 910",-34.805917,-58.421680
"6490112005","6490112005","BOULEVARD POLONIA 401-499",-34.805278,-58.427887
"6274107283","6274107283","BATALLA DE ITUZAINGÓ 2800-2848",-34.804590,-58.264015
"6490104244","6490104244","DOCTOR JORGE MELBER 799",-34.803995,-58.416647
"6274100216","6274100216","AVENIDA TENIENTE GENERAL JUAN DOMINGO PERÓN 1400-!",-34.803327,-58.244223
"6658122321","6658122321","AV. DONATO ÁLVAREZ 7000-7098",-34.799520,-58.305335
"628125027","628125027","MITRE 1018",-34.798250,-58.393458
"628131699","628131699","DOMINGO SALABERRY 1000-1098",-34.797770,-58.335917
"698105260","698105260","AVENIDA MONTEVIDEO_CALLE 30",-34.876288,-57.860295
"6274123885","6274123885","DIAGONAL LOS TEHUELCHES 2499-2599",-34.871170,-58.191820
"698100816","698100816","AVENIDA MONTEVIDEO_CALLE 13",-34.870288,-57.880725
"6441129994","6441129994","CALLE 13_CALLE 481",-34.870185,-58.031695
"698130201","698130201","CALLE 7_CALLE 165",-34.868867,-57.888137
"6441125876","6441125876","CAMINO PARQUE CENTENARIO Y BALCARCE",-34.862707,-58.053738
"6270130855","6270130855","MARIANO CASTEX 801-899",-34.853398,-58.503457
"6427112815","6427112815","BRIGADIER GENERAL JUAN MANUEL DE ROSAS 23799-23887",-34.853303,-58.656622
"6441110682","6441110682","CAMINO PARQUE CENTENARIO_CALLE 43",-34.852887,-58.081262
"628102362","628102362","AVENIDA BERLIN 499-599",-34.850075,-58.382278
"628123862","628123862","AVENIDA TOMÁS ESPORA 5319-5399",-34.845730,-58.377060
"6260133675","6260133675","LEANDRO N. ALEM 3147",-34.842705,-58.448152
"6245118351","6245118351","AVENIDA ALMIRANTE BROWN_ESC. PROPULSORA",-34.842618,-57.934345
"6245105049","6245105049","CAMINO COSTANERO ALMIRANTE BROWN_CALLE 10 BIS",-34.838430,-57.939737
"6260124680","6260124680","LEANDRO N. ALEM 2554-2598",-34.838327,-58.451487
"6245134729","6245134729","AVENIDA ALMIRANTE BROWN_DVBA-VIALIDAD",-34.838208,-57.940233
"628130392","628130392","PABLO PODESTA 350-398",-34.836818,-58.377090
"6245124483","6245124483","CAMINO COSTANERO ALMIRANTE BROWN_CALLE 16",-34.836142,-57.944475
"6434122994","6434122994","AV. 9 DE JULIO 3301-3399",-34.725102,-58.366267
"6658113016","6658113016","BRANDSEN 508",-34.723830,-58.248108
"6427127119","6427127119","GUILLERMO MARCONI 5100-5168",-34.722765,-58.580005
"6658117892","6658117892","MIGUEL ÁNGEL MAURIÑO 1910",-34.722208,-58.315778
"6658124297","6658124297","CONDARCO 1-98",-34.722020,-58.285392
"6490108987","6490108987","CLAUDIO DE ALAS 2002-2100",-34.721920,-58.461567
"6490106776","6490106776","PLUMERILLO 781",-34.720745,-58.429183
"6434105294","6434105294","AVENIDA HIPÓLITO YRIGOYEN 5691",-34.720690,-58.394380
"6490113823","6490113823","RECONDO 2169",-34.719693,-58.460102
"6427114905","6427114905","GUILLERMO MARCONI 4501-4599",-34.719580,-58.584248
"6882126382","6882126382","AV. GRAL. LAVALLE Y PELLEGRINI BUENOS AIRES",-34.105350,-59.022807
"6882116322","6882116322","AVENIDA ANTA Y GENERAL PAZ",-34.098993,-59.035467
"628129925","628129925","AVENIDA SAN MARTÍN 3000-3098",-34.794423,-58.362155
"628127350","628127350","HIPÓLITO BOUCHARD 2799-2899",-34.791015,-58.367107
"628108886","628108886","ANEMONA 6181",-34.790582,-58.320530
"628134135","628134135","AVENIDA TOMÁS ESPORA 106-168",-34.788653,-58.389030
"691111026","691111026","CALLE 21 1222",-34.787605,-58.240293
"628127279","628127279","CANALE 2559",-34.787182,-58.375970
"6274132808","6274132808","DARREGUEIRA 471",-34.787115,-58.294515
"6490130810","6490130810","GENERAL EUSTAQUIO FRÍAS 2501-2599",-34.786875,-58.419438
"6490126867","6490126867","HÚSARES 701-799",-34.786007,-58.428060
"6427114540","6427114540","DOMINGO SCARLATTI 5153-5199",-34.784502,-58.647107
"6490129843","6490129843","GENERAL JOSÉ MARÍA PAZ 1701-1799",-34.783275,-58.417782
"628102082","628102082","PINO 102-200",-34.812720,-58.400712
"628101364","628101364","E. BARAKAT 499-599",-34.812018,-58.333755
"628124298","628124298","FALUCHO 1791",-34.808953,-58.372308
"628101712","628101712","RUTA PROVINCIAL 210 1317",-34.806848,-58.388685
"691120347","691120347","CAMINO GENERAL BELGRANO 4600-4648",-34.804510,-58.218755
"628107376","628107376","ADOLFO ALSINA 4227",-34.803277,-58.343460
"628120685","628120685","JULIÁN SEGUNDO DE AGÜERO 2491",-34.801882,-58.353588
"6274102859","6274102859","AVENIDA CALCHAQUÍ 3087",-34.801110,-58.238380
"6274102653","6274102653","NEUQUÉN 1455-1499",-34.799810,-58.257345
"6274100305","6274100305","AVENIDA GENERAL JOSÉ DE SAN MARTÍN 2324",-34.799497,-58.278442
"628119389","628119389","FRANCISCO SEGUÍ 799-899",-34.799015,-58.394603
"6658130689","6658130689","AV. DONATO ÁLVAREZ 6800-6898",-34.798100,-58.306373
"628113722","628113722","AVENIDA HIPÓLITO YRIGOYEN 12226",-34.798072,-58.408302
"628128965","628128965","SOMELLERA 533-599",-34.797675,-58.393898
"6274121341","6274121341","AVENIDA SARMIENTO 9833",-34.872917,-58.275377
"6441132532","6441132532","CALLE 419_CALLE 27",-34.871175,-58.099752
"6270130554","6270130554","MARIANO CASTEX 2101-2199",-34.870830,-58.502400
"6441113633","6441113633","CALLE 13_CALLE 478",-34.868463,-58.035367
"6245111364","6245111364","ORTIZ DE ROSAS_J. MARÍA JEREZ (POLIDEPORTIVO)",-34.863005,-57.901050
"628107812","628107812","DOCTOR L. CHIESA 499-599",-34.856412,-58.387172
"628106899","628106899","AVENIDA BERLIN 1099",-34.852752,-58.387720
"6441124564","6441124564","CALLE 6_CALLE 46",-34.851515,-58.082520
"6245131074","6245131074","SAN MARTÍN_F. CESTINO",-34.849585,-57.919800
"6427130801","6427130801","AVENIDA MONTECARLO 657-699",-34.842922,-58.644650
"628131455","628131455","CARLOS MORGANTI 1199-1299",-34.840698,-58.368360
"628108316","628108316","AVENIDA TOMÁS ESPORA 4599-4699",-34.839537,-58.381332
"6274112114","6274112114","ROTONDA GUTIÉRREZ Y AUTOPISTA BUENOS AIRES - MAR !",-34.839193,-58.190102
"6274118761","6274118761","AVENIDA EVA PERÓN 5706-5798",-34.835377,-58.278090
"6434132735","6434132735","ALMEYRA 2531",-34.724562,-58.382832
"6658109523","6658109523","GARIBALDI 255-299",-34.722772,-58.254460
"6658123497","6658123497","NICOLÁS VIDELA 89",-34.721630,-58.260560
"6427132703","6427132703","DE LA RIESTRA",-34.720392,-58.514300
"6427132117","6427132117","CARLOS CASARES 3653-3667",-34.719202,-58.597120
"6434102978","6434102978","AV. 9 DE JULIO 2602-2700",-34.718665,-58.375202
"6434119485","6434119485","VILLA DE LUJÁN 2101-2199",-34.718417,-58.377812
"6434118025","6434118025","CALLE MARCO AVELLANEDA 2146",-34.717663,-58.413062
"6427109183","6427109183","VIA PEDRO FERRÉ 2699-2799",-34.717625,-58.619258
"6490110761","6490110761","CLAUDIO DE ALAS 2301-2399",-34.717420,-58.465173
"6490112917","6490112917","CLAUDIO DE ALAS 2402-2500",-34.716995,-58.465512
"6434129642","6434129642","JUNCAL 3101-3199",-34.716860,-58.363147
"6434108773","6434108773","VILLA DE LUJÁN 1901-1999",-34.716840,-58.376210
"6434113282","6434113282","CALLE MARCO AVELLANEDA 2201-2229",-34.716788,-58.413595
"6427110321","6427110321","AVENIDA CRISTIANÍA 4004",-34.715430,-58.577562
"6539108353","6539108353","AVENIDA DOCTOR RICARDO BALBÍN 2449-2699",-34.714695,-58.785528
"6882116607","6882116607","AVENIDA ANTÁRTIDA ARGENTINA Y CALLE 40",-34.109407,-59.053623
"691106018","691106018","CAMINO GENERAL BELGRANO 2899-2949",-34.795453,-58.235517
"6260124937","6260124937","AVENIDA LUIS VERNET 1851",-34.795385,-58.480337
"628103272","628103272","RAFAEL ALTAMIRA 1700-1798",-34.794862,-58.357857
"628108546","628108546","AVENIDA LACAZE 6099-6199",-34.794810,-58.317620
"628119556","628119556","RAFAEL ALTAMIRA 1540",-34.793365,-58.359042
"6490135117","6490135117","RECREO",-34.793065,-58.425635
"6490127288","6490127288","LUZURIAGA 301-399",-34.792487,-58.432057
"6658114945","6658114945","AVENIDA GOBERNADOR MONTEVERDE 2961-2999",-34.791168,-58.311210
"691114577","691114577","CALLE 359_CALLE 303",-34.790078,-58.210670
"691132279","691132279","AVENIDA EVA PERÓN 3130",-34.788272,-58.214565
"628122874","628122874","JORGE SANTIAGO BYNNON 2800-2898",-34.787817,-58.371200
"628117383","628117383","CANALE 2599-2699",-34.786512,-58.374727
"628126237","628126237","EL PICAFLOR 3299-3399",-34.786118,-58.328742
"6274134283","6274134283","PEDRO MORAN 502-582",-34.785827,-58.291068
"6658110717","6658110717","AVENIDA JUAN DOMINGO PERÓN 4800-4898",-34.785472,-58.315507
"691126415","691126415","CAMINO GENERAL BELGRANO 1239",-34.784177,-58.256582
"6490107489","6490107489","GENERAL EUSTAQUIO FRÍAS 2201-2299",-34.783745,-58.421842
"6525120601","6525120601","AVENIDA DOCTOR MARCOS PAZ Y HIPÓLITO YRIGOYEN",-34.783662,-58.833260
"628109904","628109904","AVENIDA EVA PERÓN 2350-2368",-34.812282,-58.335018
"6274112759","6274112759","AVENIDA CALCHAQUÍ 4500-4586",-34.811565,-58.230350
"628105662","628105662","AVENIDA SAN MARTÍN 699-799",-34.809567,-58.389198
"628106511","628106511","RUTA PROVINCIAL 16 13180-13318",-34.808973,-58.401785
"6490132588","6490132588","INCA 2347-2499",-34.806720,-58.430138
"6274106421","6274106421","AVENIDA TENIENTE GENERAL JUAN DOMINGO PERÓN 2589",-34.805675,-58.248767
"628104399","628104399","AV. SAN MARTÍN 1405",-34.805307,-58.381535
"628103426","628103426","GARIBALDI 787",-34.805293,-58.346330
"628131043","628131043","DRUMOND 1401-1499",-34.803850,-58.379425
"6274114193","6274114193","ARISTÓBULO DEL VALLE 1924",-34.803385,-58.259257
"6274115474","6274115474","CHUBUT 1204-1272",-34.802565,-58.257637
"6490102411","6490102411","GERMAN KURTH 1702-1800",-34.802335,-58.423185
"628110465","628110465","JULIÁN SEGUNDO DE AGÜERO 2398",-34.801208,-58.354115
"628118681","628118681","ROMAN BRAVO 1395",-34.800982,-58.336420
"6427127577","6427127577","SAUJIL 6960-6966",-34.798977,-58.632058
"691118420","691118420","CALLE 133 A 4252-4300",-34.797297,-58.193142
"6441122317","6441122317","CAMINO GENERAL BELGRANO_CALLE 448",-34.875417,-58.080037
"6441123314","6441123314","CAMINO PARQUE CENTENARIO_CALLE 486",-34.870947,-58.031850
"698112283","698112283","CALLE 7_CALLE 164",-34.870188,-57.889155
"6274104188","6274104188","AVENIDA EVA PERÓN",-34.866933,-58.275710
"6441131064","6441131064","CAMINO GENERAL BELGRANO_CALLE 411",-34.865753,-58.106067
"6245117029","6245117029","BOLIVIA_QUINTANA",-34.860410,-57.918237
"6270129297","6270129297","CONQUISTA DE DESIERTO 402-500",-34.855457,-58.523938
"6441133274","6441133274","CAMINO PARQUE CENTENARIO_CALLE 49",-34.851792,-58.086150
"6441104362","6441104362","CAMINO PARQUE CENTENARIO_CALLE 49",-34.851365,-58.087222
"628126654","628126654","6 DE FEBRERO 16799-16899",-34.849445,-58.397850
"628131240","628131240","JUAN SARCIONE 250-298",-34.840375,-58.376152
"628125303","628125303","CARLOS MORGANTI 1030",-34.838895,-58.369862
"6245119596","6245119596","CAMINO COSTANERO ALMIRANTE BROWN_CALLE 10 A",-34.838795,-57.938947
"628127539","628127539","JUAN SARCIONE 600-698",-34.838213,-58.371755
"6274110142","6274110142","AVENIDA CALCHAQUÍ",-34.835472,-58.202335
"6434114307","6434114307","SEBASTIÁN GABOTO 4014",-34.725430,-58.412775
"6658108093","6658108093","HUMBERTO PRIMO 111",-34.725403,-58.257453
"6434108808","6434108808","AVENIDA HIPÓLITO YRIGOYEN 6002-6100",-34.724885,-58.395258
"6434131092","6434131092","CALLE JOSÉ LEÓN SUÁREZ 1701-1799",-34.724540,-58.418290
"6658133964","6658133964","AVENIDA LA PLATA 169",-34.724437,-58.286542
"6434133728","6434133728","VILLA DE LUJÁN 2809",-34.724168,-58.383812
"6882104395","6882104395","AVENIDA GENERAL LAVALLE Y LÓPEZ Y PLANES",-34.110627,-59.020633
"691102202","691102202","CAMINO GENERAL BELGRANO 3199-3299",-34.796927,-58.232780
"691102201","691102201","CAMINO GENERAL BELGRANO 3199-3299",-34.796915,-58.232773
"628109729","628109729","RAFAEL CALZADA 1800-1848",-34.796467,-58.359028
"628106930","628106930","JORGE SANTIAGO BYNNON 1499-1699",-34.796315,-58.386435
"691106017","691106017","CAMINO GENERAL BELGRANO 2899-2949",-34.795433,-58.235507
"628105137","628105137","AVENIDA SAN MARTÍN 2936",-34.795152,-58.363228
"691120605","691120605","CALLE 163 6332",-34.791957,-58.148428
"6658114944","6658114944","AVENIDA GOBERNADOR MONTEVERDE 2961-2999",-34.791168,-58.311222
"6490129924","6490129924","ARMONÍA 299-399",-34.790985,-58.425070
"628120624","628120624","ANEMONA 6200-6298",-34.790420,-58.320192
"628126892","628126892","CHARCAS SUR 599-649",-34.790110,-58.322323
"6490101704","6490101704","PROFESOR MARINO 1901-1999",-34.789732,-58.416785
"691103417","691103417","CAMINO GENERAL BELGRANO 1799-1895",-34.789032,-58.247375
"6490104527","6490104527","HÚSARES 602-700",-34.787195,-58.430477
"628129990","628129990","TUCUMAN 1399-1499",-34.786878,-58.349063
"691134380","691134380","AVENIDA EVA PERÓN 3329-3399",-34.786330,-58.210948
"6274134475","6274134475","AVENIDA HIPÓLITO YRIGOYEN 1079",-34.785983,-58.272095
"691120404","691120404","CALLE 365 381",-34.785670,-58.206332
"6274109565","6274109565","MONTEVIDEO 3601-3699",-34.811923,-58.258170
"628104992","628104992","ADOLFO ALSINA 3104-3148",-34.811095,-58.357883
"628134449","628134449","FALUCHO 1399-1499",-34.810542,-58.375415
"6274124388","6274124388","JUAN VASQUEZ 613",-34.810472,-58.267845
"628104894","628104894","CAPITÁN DE FRAGATA MOYANO 1090-1098",-34.810225,-58.416350
"628134550","628134550","AMELIA LE MEHAUT DE ANGONELLI 1913",-34.810180,-58.381355
"691133114","691133114","CALLE 53_CALLE 132 A",-34.807330,-58.183382
"628123318","628123318","AV. REPUBLIC ARGENTINA 2199-2299",-34.806613,-58.365232
"6260128745","6260128745","SAN MARTÍN 900-998",-34.805837,-58.460308
"6490119775","6490119775","DOYHENARD 702-800",-34.805195,-58.422245
"6490104298","6490104298","ANTÁRTIDA ARGENTINA 2314",-34.801743,-58.432277
"628109228","628109228","ROMAN BRAVO 1302-1400",-34.800182,-58.336042
"691109374","691109374","AVENIDA CALCHAQUÍ 2850-2888",-34.800107,-58.239123
"6260118900","6260118900","SAN MARTÍN 1802",-34.799932,-58.449138
"628129170","628129170","AVENIDA SEGUROLA 501-599",-34.797955,-58.408723
"628114720","628114720","AVENIDA LACAZE 5707-5795",-34.797490,-58.322512
